id,name,now_cost,position,team,dreamteam_count,goals_conceded,selected_rank_type,form,creativity_rank,ep_this,chance_of_playing_this_round,bonus,expected_assists,creativity,web_name,penalties_order,ict_index_rank,clean_sheets,ep_next,expected_goals_conceded,in_dreamteam,red_cards,expected_assists_per_90,threat,transfers_in,ict_index_rank_type,corners_and_indirect_freekicks_order,value_form,saves,news,total_points,expected_goals_per_90,cost_change_start,yellow_cards,goals_scored,threat_rank,chance_of_playing_next_round,points_per_game_rank_type,form_rank_type,value_season,influence_rank_type,direct_freekicks_order,minutes,bps,own_goals,news_added,points_per_game_rank,expected_goals,threat_rank_type,starts_per_90,penalties_saved,starts,event_points,expected_goals_conceded_per_90,points_per_game,assists,cost_change_start_fall,region,clean_sheets_per_90,cost_change_event_fall,goals_conceded_per_90,now_cost_rank,status,transfers_in_event,selected_by_percent,saves_per_90,influence,selected_rank,creativity_rank_type,ict_index,expected_goal_involvements_per_90,influence_rank,cost_change_event,now_cost_rank_type,penalties_missed,form_rank,expected_goal_involvements,transfers_out,transfers_out_event
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,279,0.0,664,0.0,0.0,0,0.00,0.0,Fábio Vieira,,665,0,0.0,0.00,False,0,0.0,0.0,439,303,,0.0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,0.0,-1,0,0,661,0.0,303,294,0.0,303,,0,0,0,2024-08-29T11:06:25.241953Z,664,0.00,301,0.0,0,0,0,0.0,0.0,0,1,,0.0,0,0.0,137,u,0,0.0,0.0,0.0,631,303,0.0,0.0,665,0,82,0,651,0.00,2718,5
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,0,2,37,0.8,258,1.3,100.0,0,0.07,36.2,G.Jesus,,293,0,1.8,1.37,False,0,0.05,64.0,56504,32,,0.1,0,,6,0.5,-2,3,0,166,100.0,45,38,0.9,35,,121,28,0,2024-08-25T11:00:05.312580Z,439,0.67,33,0.74,0,1,1,1.02,0.7,0,2,30.0,0.0,0,1.49,32,a,879,0.9,0.0,17.8,210,29,11.7,0.55,361,0,14,0,299,0.74,218492,1603
3,Gabriel dos Santos Magalhães,61,DEF,Arsenal,1,11,5,1.5,190,2.0,100.0,4,0.48,64.7,Gabriel,,62,3,2.5,11.47,False,0,0.05,176.0,2187969,10,,0.2,0,,45,0.14,1,1,2,52,100.0,6,64,7.4,11,,953,166,0,2024-10-27T22:00:05.718030Z,49,1.49,2,1.04,0,11,2,1.08,4.1,0,-1,30.0,0.28,1,1.04,75,a,37561,22.0,0.0,260.0,15,50,50.1,0.19,37,-1,5,0,217,1.97,1352215,26651
4,Kai Havertz,80,FWD,Arsenal,1,12,8,1.5,91,1.5,75.0,7,1.12,137.4,Havertz,3.0,23,3,2.5,11.93,False,0,0.1,359.0,1981913,6,,0.2,0,,46,0.41,0,2,4,7,100.0,15,30,5.8,8,,990,169,0,2024-11-07T09:00:07.112803Z,45,4.50,3,1.0,0,11,1,1.08,4.2,1,0,80.0,0.27,0,1.09,12,a,7553,11.4,0.0,234.8,37,4,73.1,0.51,59,0,4,0,222,5.62,2308126,53217
5,Karl Hein,40,GKP,Arsenal,0,0,67,0.0,476,0.0,0.0,0,0.00,0.0,Hein,,493,0,0.0,0.00,False,0,0.0,0.0,0,54,,0.0,0,Loaned to Real Valladolid,0,0.0,0,0,0,438,0.0,54,47,0.0,54,,0,0,0,2024-08-14T08:31:46.556082Z,494,0.00,28,0.0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,633,u,0,0.0,0.0,0.0,548,37,0.0,0.0,490,0,65,0,421,0.00,3639,41
6,Jurriën Timber,55,DEF,Arsenal,0,7,69,1.2,104,1.7,100.0,0,0.31,127.1,J.Timber,,183,2,2.2,7.86,False,0,0.04,42.0,242344,51,,0.2,0,,24,0.05,0,3,0,213,100.0,40,75,4.4,74,,683,89,0,2024-10-04T13:30:05.569185Z,150,0.36,56,1.05,0,8,2,1.04,2.7,1,0,152.0,0.26,0,0.92,121,a,6074,1.3,0.0,117.4,182,22,28.5,0.09,186,0,12,0,239,0.67,213649,2164
7,Jorge Luiz Frello Filho,48,MID,Arsenal,0,1,117,0.0,295,0.5,,0,0.15,21.6,Jorginho,,389,1,1.0,1.10,False,0,0.09,1.0,19325,194,,0.0,0,,4,0.02,-2,2,0,384,,153,256,0.8,205,,154,16,0,,319,0.04,211,1.17,0,2,0,0.64,1.3,0,2,106.0,0.58,0,0.58,294,a,218,0.2,0.0,4.4,338,169,2.7,0.11,417,0,194,0,594,0.19,34313,515
8,Jakub Kiwior,48,DEF,Arsenal,0,4,145,0.2,401,0.7,,0,0.00,1.0,Kiwior,,408,0,1.2,3.17,False,0,0.0,0.0,8068,136,,0.0,0,,3,0.0,-2,0,0,617,,142,119,0.6,129,,96,-3,0,,429,0.00,219,0.0,0,0,0,2.97,0.8,0,2,172.0,0.0,0,3.75,318,a,135,0.2,0.0,16.2,399,140,1.7,0.0,368,0,38,0,352,0.00,17272,274
9,Gabriel Martinelli Silva,69,MID,Arsenal,1,9,28,3.2,60,3.7,100.0,4,1.85,169.8,Martinelli,,38,3,4.2,8.52,False,0,0.25,265.0,528310,26,,0.5,0,,47,0.27,-1,0,3,25,100.0,18,32,6.8,24,,678,160,0,2024-10-18T16:00:06.884775Z,39,2.01,14,1.06,0,8,8,1.13,4.3,2,1,30.0,0.4,0,1.19,30,a,14285,3.4,0.0,205.4,96,48,64.0,0.52,75,0,17,0,82,3.86,503440,9255
12,Ethan Nwaneri,45,MID,Arsenal,0,0,96,0.8,323,1.3,,0,0.17,13.6,Nwaneri,,358,0,1.8,0.17,False,0,0.29,20.0,42057,177,,0.2,0,,5,0.09,0,0,0,271,,174,128,1.1,177,,52,18,0,,371,0.05,150,0.0,0,0,0,0.29,1.0,0,0,241.0,0.0,0,0.0,433,a,998,0.3,0.0,15.8,295,185,5.0,0.38,371,0,263,0,275,0.22,33072,1082
