id,name,now_cost,position,team,expected_goals_conceded_per_90,ep_next,cost_change_start_fall,expected_goal_involvements_per_90,creativity,selected_rank,now_cost_rank,status,creativity_rank,bps,in_dreamteam,red_cards,bonus,goals_scored,ict_index_rank,chance_of_playing_next_round,threat_rank,now_cost_rank_type,goals_conceded_per_90,expected_goals_per_90,yellow_cards,expected_assists_per_90,own_goals,saves,ep_this,chance_of_playing_this_round,direct_freekicks_order,transfers_out,starts_per_90,clean_sheets_per_90,points_per_game_rank_type,threat_rank_type,creativity_rank_type,points_per_game_rank,transfers_in,form_rank_type,expected_goals,value_form,transfers_in_event,news_added,transfers_out_event,dreamteam_count,influence_rank_type,clean_sheets,saves_per_90,expected_goals_conceded,total_points,form_rank,penalties_saved,points_per_game,assists,cost_change_event,news,influence_rank,region,web_name,expected_goal_involvements,goals_conceded,selected_by_percent,cost_change_start,influence,form,corners_and_indirect_freekicks_order,cost_change_event_fall,ict_index_rank_type,value_season,expected_assists,ict_index,starts,penalties_missed,penalties_order,event_points,selected_rank_type,minutes,threat
1,Fábio Ferreira Vieira,54,MID,Arsenal,0.0,0.0,1,0.0,0.0,631,139,u,672,0,False,0,0,0,673,0.0,667,82,0.0,0.0,0,0.0,0,0,0.0,0.0,,2730,0.0,0.0,306,304,306,672,439,293,0.00,0.0,0,2024-08-29T11:06:25.241953Z,4,0,306,0,0.0,0.00,0,659,0,0.0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,673,,Fábio Vieira,0.00,0,0.0,-1,0.0,0.0,,0,306,0.0,0.00,0.0,0,0,,0,279,0,0.0
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,0.73,1.8,2,0.4,62.9,210,33,a,204,29,False,0,0,0,268,100.0,155,15,0.85,0.35,4,0.05,0,0,1.8,100.0,,221661,0.85,0.43,48,31,27,447,58359,32,0.82,0.1,855,2024-08-25T11:00:05.312580Z,1316,0,35,1,0.0,1.70,7,271,0,0.7,0,0,,352,30.0,G.Jesus,0.94,2,0.9,-2,24.4,0.8,,0,32,1.0,0.12,16.2,2,0,,1,36,211,76.0
3,Gabriel dos Santos Magalhães,61,DEF,Arsenal,1.02,3.8,-1,0.17,67.5,10,75,a,194,190,True,0,4,2,71,100.0,56,5,0.95,0.13,1,0.04,0,0,3.8,100.0,,1409422,1.04,0.35,4,2,51,43,2492647,31,1.56,0.5,117540,2024-10-27T22:00:05.718030Z,12928,1,14,4,0.0,11.80,51,116,0,4.2,0,0,,43,30.0,Gabriel,2.06,11,24.4,1,271.2,2.8,,0,12,8.4,0.50,51.9,12,0,,6,3,1043,180.0
4,Kai Havertz,79,FWD,Arsenal,1.08,2.0,1,0.51,137.4,40,12,a,106,169,False,0,7,4,30,100.0,12,4,1.09,0.41,2,0.1,0,0,2.0,100.0,,2435191,1.0,0.27,15,6,8,46,2029636,31,4.50,0.1,6877,2024-11-07T09:00:07.112803Z,67158,1,10,3,0.0,11.93,46,270,0,4.2,1,-1,,66,80.0,Havertz,5.62,12,10.6,-1,234.8,1.0,,1,7,5.8,1.12,73.1,11,0,3.0,0,10,990,359.0
5,Karl Hein,40,GKP,Arsenal,0.0,0.0,0,0.0,0.0,554,636,u,480,0,False,0,0,0,498,0.0,441,65,0.0,0.0,0,0.0,0,0,0.0,0.0,,3741,0.0,0.0,54,27,36,499,0,48,0.00,0.0,0,2024-08-14T08:31:46.556082Z,40,0,54,0,0.0,0.00,0,417,0,0.0,0,0,Loaned to Real Valladolid,494,,Hein,0.00,0,0.0,0,0.0,0.0,,0,54,0.0,0.00,0.0,0,0,,0,68,0,0.0
6,Jurriën Timber,55,DEF,Arsenal,0.95,3.8,0,0.09,149.9,141,121,a,88,114,False,0,0,0,171,100.0,200,11,0.82,0.05,3,0.04,0,0,3.8,100.0,,223007,1.05,0.35,34,50,19,126,312269,29,0.41,0.5,21900,2024-10-04T13:30:05.569185Z,2618,0,78,3,0.0,8.13,30,114,0,3.0,1,0,,200,152.0,J.Timber,0.77,7,1.9,0,121.8,2.8,,0,44,5.5,0.36,32.2,9,0,,6,53,770,52.0
7,Jorge Luiz Frello Filho,48,MID,Arsenal,0.55,1.0,2,0.13,35.0,341,292,a,268,19,False,0,0,0,375,,388,193,0.45,0.02,3,0.11,0,0,1.0,,,35380,1.36,0.45,194,212,158,393,19838,252,0.04,0.0,213,,481,0,206,1,0.0,1.22,4,599,0,1.0,0,0,,419,106.0,Jorginho,0.28,1,0.2,-2,4.4,0.0,,0,187,0.8,0.24,4.0,3,0,,0,116,199,1.0
8,Jakub Kiwior,48,DEF,Arsenal,2.97,1.5,2,0.0,1.0,399,318,a,406,-1,False,0,0,0,412,,624,38,3.67,0.0,0,0.0,0,0,1.5,,,17927,0.0,0.0,144,223,143,435,8503,95,0.00,0.1,134,,236,0,132,0,0.0,3.23,4,307,0,0.8,0,0,,376,172.0,Kiwior,0.00,4,0.2,-2,16.2,0.5,,0,139,0.8,0.00,1.7,0,0,,1,145,98,0.0
9,Gabriel Martinelli Silva,69,MID,Arsenal,1.13,4.0,1,0.52,169.8,89,31,a,73,160,False,0,4,3,42,100.0,31,17,1.19,0.27,0,0.25,0,0,4.0,100.0,,547972,1.06,0.4,17,17,56,38,595591,52,2.01,0.4,5277,2024-10-18T16:00:06.884775Z,28799,1,32,3,0.0,8.52,47,108,0,4.3,2,0,,94,30.0,Martinelli,3.86,9,3.7,-1,205.4,3.0,,0,29,6.8,1.85,64.0,8,0,,0,27,678,265.0
12,Ethan Nwaneri,45,MID,Arsenal,0.34,3.0,0,0.5,28.5,290,432,a,286,42,False,0,0,1,309,,225,263,0.0,0.22,0,0.28,0,0,3.0,,,36125,0.0,0.0,119,129,169,262,49284,69,0.15,0.4,5578,,1149,0,150,0,0.0,0.23,11,158,0,1.8,0,0,,312,241.0,Nwaneri,0.34,0,0.4,0,50.8,2.0,,0,151,2.4,0.19,12.1,0,0,,6,94,60,41.0
